package,ondiskversion,source
rme,0.0.3,Github (d-morrison/rme@fa61b6837aa663eaf0d7e3759989ab54aaf3494f)
rms,8.1-0,CRAN (R 4.5.0)
rngtools,1.5.2,CRAN (R 4.5.0)
robustbase,0.99-6,CRAN (R 4.5.0)
ROCR,1.0-11,CRAN (R 4.5.0)
rootSolve,1.8.2.4,CRAN (R 4.5.0)
roxygen2,7.3.3,CRAN (R 4.5.0)
rpart,4.1.24,CRAN (R 4.5.1)
rprojroot,2.1.1,CRAN (R 4.5.0)
rsconnect,1.5.1,CRAN (R 4.5.0)
RSpectra,0.16-2,CRAN (R 4.5.0)
rstatix,0.7.3,CRAN (R 4.5.0)
rstudioapi,0.17.1,CRAN (R 4.5.0)
runjags,2.2.2-5,CRAN (R 4.5.0)
rvcheck,0.2.1,CRAN (R 4.5.0)
rversions,3.0.0,CRAN (R 4.5.0)
rvest,1.0.5,CRAN (R 4.5.0)
rwicc,0.1.3.9003,local
S7,0.2.0,CRAN (R 4.5.0)
sandwich,3.1-1,CRAN (R 4.5.0)
sass,0.4.10,CRAN (R 4.5.0)
scales,1.4.0,CRAN (R 4.5.0)
school.epi.abm,0.0.0.9000,local
see,0.12.0,CRAN (R 4.5.0)
segmented,2.1-4,CRAN (R 4.5.0)
selectr,0.4-2,CRAN (R 4.5.0)
serocalculator,1.3.0.9058,Github (ucd-serg/serocalculator@0f7a05a027f966c394e717b15f061f07a1574e62)
serodynamics,0.0.0.9036,local
sessioninfo,1.2.3,CRAN (R 4.5.0)
shape,1.4.6.1,CRAN (R 4.5.0)
shiny,1.11.1,CRAN (R 4.5.0)
shinydashboard,0.7.3,CRAN (R 4.5.0)
sjlabelled,1.2.0,CRAN (R 4.5.0)
sjmisc,2.8.11,CRAN (R 4.5.0)
sjPlot,2.9.0,CRAN (R 4.5.0)
sjstats,0.19.1,CRAN (R 4.5.0)
smd,0.8.0,CRAN (R 4.5.0)
snakecase,0.11.1,CRAN (R 4.5.0)
snowflakeauth,0.2.0,CRAN (R 4.5.0)
sourcetools,0.1.7-1,CRAN (R 4.5.0)
sp,2.2-0,CRAN (R 4.5.0)
spacesXYZ,1.6-0,CRAN (R 4.5.0)
SparseM,1.84-2,CRAN (R 4.5.0)
sparsevctrs,0.3.4,CRAN (R 4.5.0)
spatial,7.3-18,CRAN (R 4.5.1)
spelling,2.3.2,CRAN (R 4.5.0)
splitTools,1.0.1,CRAN (R 4.5.0)
SQUAREM,2021.1,CRAN (R 4.5.0)
ssddata,1.0.0,CRAN (R 4.5.0)
ssdtools,2.4.0,CRAN (R 4.5.0)
stabledist,0.7-2,CRAN (R 4.5.0)
stringdist,0.9.15,CRAN (R 4.5.0)
stringi,1.8.7,CRAN (R 4.5.0)
stringr,1.6.0,CRAN (R 4.5.0)
strucchange,1.5-4,CRAN (R 4.5.0)
styler,1.11.0,CRAN (R 4.5.0)
survey,4.4-8,CRAN (R 4.5.0)
survival,3.8-3,CRAN (R 4.5.1)
survminer,0.5.1,CRAN (R 4.5.0)
survMisc,0.5.6,CRAN (R 4.5.0)
svglite,2.2.2.9000,Github (r-lib/svglite@518c837c1283ad5752c2d595a0a84d2e169111ab)
sys,3.4.3,CRAN (R 4.5.0)
systemfonts,1.3.1,CRAN (R 4.5.0)
table1,1.5.1,CRAN (R 4.5.0)
tables,0.9.31,CRAN (R 4.5.0)
terra,1.8-70,CRAN (R 4.5.0)
testthat,3.2.3,CRAN (R 4.5.0)
textshaping,1.0.4,CRAN (R 4.5.0)
TH.data,1.1-4,CRAN (R 4.5.0)
tibble,3.3.0,CRAN (R 4.5.0)
tibbletime,0.1.9,CRAN (R 4.5.0)
tidyr,1.3.1,CRAN (R 4.5.0)
tidyselect,1.2.1,CRAN (R 4.5.0)
tidyverse,2.0.0,CRAN (R 4.5.0)
timechange,0.3.0,CRAN (R 4.5.0)
timeDate,4041.110,CRAN (R 4.5.0)
timeSeries,4041.111,CRAN (R 4.5.0)
tinyscholar,0.1.7,CRAN (R 4.5.0)
tinytable,0.13.0,CRAN (R 4.5.0)
tinytex,0.58,CRAN (R 4.5.2)
titanic,0.1.0,CRAN (R 4.5.0)
TMB,1.9.18,CRAN (R 4.5.1)
togglr,0.2.1,CRAN (R 4.5.0)
triebeard,0.4.1,CRAN (R 4.5.0)
trust,0.1-8,CRAN (R 4.5.0)
tseries,0.10-58,CRAN (R 4.5.0)
TTR,0.24.4,CRAN (R 4.5.0)
tzdb,0.5.0,CRAN (R 4.5.0)
ucminf,1.2.2,CRAN (R 4.5.0)
units,1.0-0,CRAN (R 4.5.0)
universals,0.0.5,CRAN (R 4.5.0)
urca,1.3-4,CRAN (R 4.5.0)
urlchecker,1.0.1,CRAN (R 4.5.0)
urltools,1.7.3.1,CRAN (R 4.5.0)
useful,1.2.6.1,CRAN (R 4.5.0)
usethis,3.2.1,CRAN (R 4.5.0)
utf8,1.2.6,CRAN (R 4.5.0)
uuid,1.2-1,CRAN (R 4.5.0)
V8,8.0.1,CRAN (R 4.5.0)
vars,1.6-1,CRAN (R 4.5.0)
vctrs,0.6.5,CRAN (R 4.5.0)
vdiffr,1.0.8.9000,Github (r-lib/vdiffr@c5f4be5b3bad952a78261f975caa9e9a21c498a7)
veccompare,0.1.0,CRAN (R 4.5.0)
VennDiagram,1.7.3,CRAN (R 4.5.0)
viridis,0.6.5,CRAN (R 4.5.0)
viridisLite,0.4.2,CRAN (R 4.5.0)
vroom,1.6.6,CRAN (R 4.5.0)
waldo,0.6.2,CRAN (R 4.5.0)
webshot2,0.1.2,CRAN (R 4.5.0)
websocket,1.4.4,CRAN (R 4.5.0)
whisker,0.4.1,CRAN (R 4.5.0)
withr,3.0.2,CRAN (R 4.5.0)
workflows,1.3.0,CRAN (R 4.5.0)
writexl,1.5.4,CRAN (R 4.5.0)
xfun,0.54,CRAN (R 4.5.0)
XML,3.99-0.19,CRAN (R 4.5.0)
xml2,1.5.1,CRAN (R 4.5.2)
xmlparsedata,1.0.5,CRAN (R 4.5.0)
xopen,1.0.1,CRAN (R 4.5.0)
xplorerr,0.2.0,CRAN (R 4.5.0)
xtable,1.8-4,CRAN (R 4.5.0)
xts,0.14.1,CRAN (R 4.5.0)
yaml,2.3.11,CRAN (R 4.5.2)
yulab.utils,0.2.1,CRAN (R 4.5.0)
zip,2.3.3,CRAN (R 4.5.0)
zoo,1.8-14,CRAN (R 4.5.0)
