package,ondiskversion,source
rme,0.0.3,Github (d-morrison/rme@fa61b6837aa663eaf0d7e3759989ab54aaf3494f)
rngtools,1.5.2,CRAN (R 4.5.0)
robustbase,0.99-4-1,CRAN (R 4.5.1)
ROCR,1.0-11,CRAN (R 4.5.1)
roxygen2,7.3.2,CRAN (R 4.5.0)
rpart,4.1.24,CRAN (R 4.5.1)
rprojroot,2.1.0,CRAN (R 4.5.1)
rsample,1.3.1,CRAN (R 4.5.1)
rsconnect,1.5.0,CRAN (R 4.5.0)
rstatix,0.7.2,CRAN (R 4.5.0)
rstudioapi,0.17.1,CRAN (R 4.5.0)
rUM,2.2.0,CRAN (R 4.5.1)
runjags,2.2.2-5,CRAN (R 4.5.1)
rversions,2.1.2,CRAN (R 4.5.0)
rvest,1.0.4,CRAN (R 4.5.0)
S7,0.2.0,CRAN (R 4.5.1)
sandwich,3.1-1,CRAN (R 4.5.1)
sass,0.4.10,CRAN (R 4.5.0)
scales,1.4.0,CRAN (R 4.5.0)
segmented,2.1-4,CRAN (R 4.5.0)
selectr,0.4-2,CRAN (R 4.5.0)
serocalculator,1.3.0.9051,local
serodynamics,0.0.0.9037,local
sessioninfo,1.2.3,CRAN (R 4.5.0)
sfd,0.1.0,CRAN (R 4.5.1)
shape,1.4.6.1,CRAN (R 4.5.0)
shiny,1.11.1,CRAN (R 4.5.1)
sjlabelled,1.2.0,CRAN (R 4.5.1)
skimr,2.2.1,CRAN (R 4.5.1)
slider,0.3.2,CRAN (R 4.5.1)
smd,0.8.0,CRAN (R 4.5.1)
snowflakeauth,0.1.2,CRAN (R 4.5.0)
sourcetools,0.1.7-1,CRAN (R 4.5.0)
spacesXYZ,1.6-0,CRAN (R 4.5.1)
SparseM,1.84-2,CRAN (R 4.5.0)
sparsevctrs,0.3.4,CRAN (R 4.5.1)
spatial,7.3-18,CRAN (R 4.5.1)
spelling,2.3.1,CRAN (R 4.5.0)
splitTools,1.0.1,CRAN (R 4.5.1)
SQUAREM,2021.1,CRAN (R 4.5.0)
ssddata,1.0.0,CRAN (R 4.5.0)
ssdtools,2.3.0.9000,Github (bcgov/ssdtools@0ef610a55f8595417853b5ee9a7576c03b0faf5b)
sticky,0.5.6.1,CRAN (R 4.5.1)
stringi,1.8.7,CRAN (R 4.5.0)
stringr,1.5.1,CRAN (R 4.5.0)
styler,1.10.3,CRAN (R 4.5.1)
survey,4.4-2,CRAN (R 4.5.1)
survival,3.8-3,CRAN (R 4.5.1)
survminer,0.5.0,CRAN (R 4.5.0)
survMisc,0.5.6,CRAN (R 4.5.0)
svglite,2.2.1,CRAN (R 4.5.1)
sys,3.4.3,CRAN (R 4.5.0)
systemfonts,1.2.3,CRAN (R 4.5.0)
table1,1.4.3,CRAN (R 4.5.1)
test.snapshot.skips,0.0.0.9000,local
testthat,3.2.3,CRAN (R 4.5.1)
textshaping,1.0.1,CRAN (R 4.5.0)
tibble,3.3.0,CRAN (R 4.5.0)
tidymodels,1.3.0,CRAN (R 4.5.1)
tidyr,1.3.1,CRAN (R 4.5.0)
tidyselect,1.2.1,CRAN (R 4.5.0)
tidyverse,2.0.0,CRAN (R 4.5.0)
timechange,0.3.0,CRAN (R 4.5.0)
timeDate,4041.110,CRAN (R 4.5.0)
tinyscholar,0.1.7,CRAN (R 4.5.1)
tinytex,0.57,CRAN (R 4.5.0)
titanic,0.1.0,CRAN (R 4.5.1)
TMB,1.9.17,CRAN (R 4.5.1)
translations,4.5.1,local
triebeard,0.4.1,CRAN (R 4.5.0)
tune,1.3.0,CRAN (R 4.5.1)
tzdb,0.5.0,CRAN (R 4.5.0)
ucminf,1.2.2,CRAN (R 4.5.0)
units,0.8-7,CRAN (R 4.5.1)
universals,0.0.5,CRAN (R 4.5.0)
urlchecker,1.0.1,CRAN (R 4.5.0)
urltools,1.7.3.1,CRAN (R 4.5.0)
usethis,3.1.0,CRAN (R 4.5.0)
utf8,1.2.6,CRAN (R 4.5.0)
uuid,1.2-1,CRAN (R 4.5.0)
V8,6.0.5,CRAN (R 4.5.1)
vctrs,0.6.5,CRAN (R 4.5.0)
vdiffr,1.0.8.9000,Github (r-lib/vdiffr@f03d1d8fb77df2072ffdde2323431a71cd92a1e7)
veccompare,0.1.0,CRAN (R 4.5.1)
VennDiagram,1.7.3,CRAN (R 4.5.1)
vipor,0.4.7,CRAN (R 4.5.0)
viridis,0.6.5,CRAN (R 4.5.1)
viridisLite,0.4.2,CRAN (R 4.5.0)
vroom,1.6.5,CRAN (R 4.5.0)
waldo,0.6.2,CRAN (R 4.5.1)
warp,0.2.1,CRAN (R 4.5.1)
webshot2,0.1.2,CRAN (R 4.5.1)
websocket,1.4.4,CRAN (R 4.5.1)
wesanderson,0.3.7,CRAN (R 4.5.1)
whisker,0.4.1,CRAN (R 4.5.0)
whoami,1.3.0,CRAN (R 4.5.0)
withr,3.0.2,CRAN (R 4.5.0)
workflows,1.2.0,CRAN (R 4.5.1)
workflowsets,1.1.1,CRAN (R 4.5.1)
writexl,1.5.4,CRAN (R 4.5.1)
xfun,0.52,CRAN (R 4.5.0)
XML,3.99-0.18,CRAN (R 4.5.0)
xml2,1.3.8,CRAN (R 4.5.0)
xmlparsedata,1.0.5,CRAN (R 4.5.0)
xopen,1.0.1,CRAN (R 4.5.0)
xplorerr,0.2.0,CRAN (R 4.5.1)
xtable,1.8-4,CRAN (R 4.5.0)
yaml,2.3.10,CRAN (R 4.5.0)
yardstick,1.3.2,CRAN (R 4.5.1)
zip,2.3.3,CRAN (R 4.5.0)
zoo,1.8-14,CRAN (R 4.5.0)
